"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"צילומי רחפן | גיא שמואלי","5","3","רוזנבלט 3","משמר השרון",,"IL","https://guyshmueli.wixsite.com/guyshphotography","+972 52-609-1126","שירות צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%A8%D7%97%D7%A4%D7%9F%20%7C%20%D7%92%D7%99%D7%90%20%D7%A9%D7%9E%D7%95%D7%90%D7%9C%D7%99&query_place_id=ChIJV2EO-D4VHRURvALGNVHzYvE","שירות צילום"
"צילומי אוויר קורסים והדרכות רחפנים - NVDF","5","8","התלתן 22","נתניה",,"IL","https://www.instagram.com/nvdf365/","+972 50-247-1444","צלם אווירי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20-%20NVDF&query_place_id=ChIJi4XoWAs_HRUR8LCbuu2Lg0Q","צלם אווירי"
"May Fly שירותי צילום אוויריים","5","14",,"שדות ים",,"IL","http://maydfly.com/","+972 52-879-5365","צלם אווירי","צלם","שירות צילום","צלם חתונות",,,,"https://www.google.com/maps/search/?api=1&query=May%20Fly%20%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%99%D7%9D&query_place_id=ChIJHx1sbYYNHRUR0oTKaAbNtno","צלם אווירי"
"Fix Drone צפון - מעבדת רחפנים DJI","1.6","7","הדוברת","מגדל העמק",,"IL","https://fixdrone.coi.co.il/","+972 52-261-3173","מעבדה","חנות רחפנים",,,,,,"https://www.google.com/maps/search/?api=1&query=Fix%20Drone%20%D7%A6%D7%A4%D7%95%D7%9F%20-%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20DJI&query_place_id=ChIJHcAYALtNHBURdpbfemx2p3Q","מעבדה"
"צילום רחפן Udrone",,,,,,,"https://www.udrone.co.il/","+972 53-307-7773","צלם אווירי","Service establishment","שירות צילום","סטודיו לצילום",,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%A8%D7%97%D7%A4%D7%9F%20Udrone&query_place_id=ChIJrWDZ0hz082wRvx1CJh85Dso","צלם אווירי"
"הארגון הישראלי לרב להב רחפנים",,,"אלכסנדר 8","רמת גן",,"IL","https://www.icd.org.il/","+972 52-507-6677","שירות השכרת כלי טיס",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJDVdK6_1LHRURn62jQKQeqFg","שירות השכרת כלי טיס"
"DJI Israel","4.2","602","משכית 26","הרצליה",,"IL","https://www.djistore.benda.co.il/","+972 73-266-0699","חנות חשמל ואלקטרוניקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=DJI%20Israel&query_place_id=ChIJo5dgSmRJHRURNIccpfdGpkI","חנות חשמל ואלקטרוניקה"
"סיטידרונס רחפנים City Drones UAV","5","2","עתיר ידע 21, קומה 2","כפר סבא",,"IL","http://www.citydronesuav.com/","+972 72-258-7788","מהנדס אווירונאוטיקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%99%D7%98%D7%99%D7%93%D7%A8%D7%95%D7%A0%D7%A1%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20City%20Drones%20UAV&query_place_id=ChIJGTRJQbDJAhURv23-0IQv_ns","מהנדס אווירונאוטיקה"
"Agrimapic Ltd.",,,"דרך הבנים","מקוה ישראל",,"IL","http://www.agrimapic.com/","+972 50-522-3402","שירות חקלאי","שירות מיפוי","שירות הדפסה תלת-ממדית",,,,,"https://www.google.com/maps/search/?api=1&query=Agrimapic%20Ltd.&query_place_id=ChIJyxYZKFC1AhURvNs5gxmKJ_g","שירות חקלאי"
"הארגון הישראלי לרב להב רחפנים","4.9","7","יד חרוצים 27","נתניה",,"IL","http://www.icd.org.il/","+972 52-507-6677","חברת תעופה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJFYM4f1I_HRURUnqVCLY7W4Q","חברת תעופה"
"ד״ר טיסונה אריאל - מומחה לכירורגיה פלסטית ומשחזרת","4.8","20","המנופים 15","הרצליה",,"IL","https://www.tessonemd.com/","+972 53-221-4800","מנתח פלסטי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%D7%B4%D7%A8%20%D7%98%D7%99%D7%A1%D7%95%D7%A0%D7%94%20%D7%90%D7%A8%D7%99%D7%90%D7%9C%20-%20%D7%9E%D7%95%D7%9E%D7%97%D7%94%20%D7%9C%D7%9B%D7%99%D7%A8%D7%95%D7%A8%D7%92%D7%99%D7%94%20%D7%A4%D7%9C%D7%A1%D7%98%D7%99%D7%AA%20%D7%95%D7%9E%D7%A9%D7%97%D7%96%D7%A8%D7%AA&query_place_id=ChIJL1Emm5RJHRURBGRlbxOvw9c","מנתח פלסטי"
"פרופ' גיא בן סימון - מומחה לניתוחי עפעפיים, ארובה ודרכי דמעות","4.9","59","מרכז רפואי מדיקה, הברזל 28, קומה 1","MEDICA",,"IL","https://www.drbensimon.co.il/","+972 50-297-1663","רופא עיניים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A8%D7%95%D7%A4'%20%D7%92%D7%99%D7%90%20%D7%91%D7%9F%20%D7%A1%D7%99%D7%9E%D7%95%D7%9F%20-%20%D7%9E%D7%95%D7%9E%D7%97%D7%94%20%D7%9C%D7%A0%D7%99%D7%AA%D7%95%D7%97%D7%99%20%D7%A2%D7%A4%D7%A2%D7%A4%D7%99%D7%99%D7%9D%2C%20%D7%90%D7%A8%D7%95%D7%91%D7%94%20%D7%95%D7%93%D7%A8%D7%9B%D7%99%20%D7%93%D7%9E%D7%A2%D7%95%D7%AA&query_place_id=ChIJuz1Aem5JHRURLCGipIqd2KE","רופא עיניים"
"ד""ר רם סילפן - מרכז תל אביב לכירורגיה פלסטית","4.5","55","הברזל 9 A","תל אביב-יפו",,"IL","https://telavivplastic.co.il/","+972 1-700-501-035","מנתח פלסטי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%A8%D7%9D%20%D7%A1%D7%99%D7%9C%D7%A4%D7%9F%20-%20%D7%9E%D7%A8%D7%9B%D7%96%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20%D7%9C%D7%9B%D7%99%D7%A8%D7%95%D7%A8%D7%92%D7%99%D7%94%20%D7%A4%D7%9C%D7%A1%D7%98%D7%99%D7%AA&query_place_id=ChIJg6IF6l1JHRURBsWod320IF8","מנתח פלסטי"
"אגרוסקאוט","5","1","3FG3+F6","יראון",,"IL",,"","משרדי החברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%92%D7%A8%D7%95%D7%A1%D7%A7%D7%90%D7%95%D7%98&query_place_id=ChIJoz7d-EYnHBURPuk0PPr8m28","משרדי החברה"
"אלטה אינוביישן","4.9","16","דרך השדות","נהלל",,"IL","http://www.alta.team/","+972 3-774-4383","חברת תעופה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%D7%98%D7%94%20%D7%90%D7%99%D7%A0%D7%95%D7%91%D7%99%D7%99%D7%A9%D7%9F&query_place_id=ChIJKZEbBGdLHRUR3LzEmZqLexE","חברת תעופה"
"חוות בין השיטין","5","61","שדות","חצבה",,"IL","https://www.facebook.com/hashitinfarm","+972 52-218-1665","חווה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%95%D7%95%D7%AA%20%D7%91%D7%99%D7%9F%20%D7%94%D7%A9%D7%99%D7%98%D7%99%D7%9F&query_place_id=ChIJ22nfjTjNAxUR-RpkxENmjrY","חווה"
"ג'ון דיר ישראל","4.6","25","גרניט 22","קיסריה",,"IL","http://www.jdisrael.co.il/","+972 4-605-9000","שירות חקלאי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%95%D7%9F%20%D7%93%D7%99%D7%A8%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C&query_place_id=ChIJyTXAinwTHRURFbM28bQidHE","שירות חקלאי"
"Growing-Smart","4","1","סוקולוב","תל אביב-יפו",,"IL","https://www.growing-smart.com/","","שירות חקלאי",,,,,,,"https://www.google.com/maps/search/?api=1&query=Growing-Smart&query_place_id=ChIJxyVgHZBJHRURlMnX7TZj7hQ","שירות חקלאי"
"ציוד ומיכון חקלאי-דויטץ ישראל","5","5","האורגים 27","חולון",,"IL","https://ag.freesbe.com/?utm_source=gmb&utm_medium=holon","+972 73-288-2050","ספק ציוד לחוות","שירות חקלאי","סוכנות טרקטורונים","שירות תיקונים לציוד חקלאי","סיטונאי תוצרת חקלאית","סוחר טרקטורים","מוסך לטרקטורים","https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%95%D7%93%20%D7%95%D7%9E%D7%99%D7%9B%D7%95%D7%9F%20%D7%97%D7%A7%D7%9C%D7%90%D7%99-%D7%93%D7%95%D7%99%D7%98%D7%A5%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C&query_place_id=ChIJEdXb-eG1AhURCutCsEVuy98","ספק ציוד לחוות"
"מנחת טיסנים ארסוף","5","7",,"ארסוף",,"IL",,"","מסלול המראה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A0%D7%97%D7%AA%20%D7%98%D7%99%D7%A1%D7%A0%D7%99%D7%9D%20%D7%90%D7%A8%D7%A1%D7%95%D7%A3&query_place_id=ChIJRfF88ExGHRURGLG_i4_uQrw","מסלול המראה"
"Drone-Options","5","98","דוידזון","ראשון לציון",,"IL","http://www.drone-options.com/","+972 52-377-1361","צלם אווירי","מרכז למידה",,,,,,"https://www.google.com/maps/search/?api=1&query=Drone-Options&query_place_id=ChIJASZjTLxNiqwR3w2_9_hn3vc","צלם אווירי"
"יניר מערכות","4.5","253","מרכז מסחרי","בארות יצחק",,"IL","http://www.yanir.co.il/","+972 3-907-8888","חנות חשמל ואלקטרוניקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A0%D7%99%D7%A8%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA&query_place_id=ChIJowMCerI1HRURrAG9WHRCdZc","חנות חשמל ואלקטרוניקה"
"GgrowAirforce",,,"דרך שלמה 47","תל אביב-יפו",,"IL","https://grow.airforce/","+972 55-922-0916","שירותי רחפנים","הנדסה חקלאית","יצרן מכונות חקלאות","שירות חקלאי",,,,"https://www.google.com/maps/search/?api=1&query=GgrowAirforce&query_place_id=ChIJHTp9jDpLHRUR59jL1Sgpjb0","שירותי רחפנים"
"פלייסייף Flysafe","4.8","48",,,,,,"+972 50-599-2222","חנות רחפנים","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%99%D7%99%D7%A1%D7%99%D7%99%D7%A3%20Flysafe&query_place_id=ChIJe0W4g5NnAhURAFbIMtsPapc","חנות רחפנים"
"Dronim צילומי רחפן",,,,"עין זיוון",,"IL",,"+972 54-737-6852","שירות צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dronim%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%A8%D7%97%D7%A4%D7%9F&query_place_id=ChIJ8eGtJDOvHhUROnGOr3cCWsI","שירות צילום"
"אלעד אוהב עצים","5","51","2CG8+Q7V","צבעון",,"IL","https://www.eladlovetrees.co.il/","+972 52-437-5574","שירות טיפול בעצים","שירותי אילנאות",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%D7%A2%D7%93%20%D7%90%D7%95%D7%94%D7%91%20%D7%A2%D7%A6%D7%99%D7%9D&query_place_id=ChIJd_kg9P-lFawRQNswJ46rQbQ","שירות טיפול בעצים"
"חוות נוודים NAVADIM","5","23",,"בית אורן",,"IL","https://www.facebook.com/navadimveyeladim/","+972 52-439-7630","חווה אורגנית","חוות אירוח",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%95%D7%95%D7%AA%20%D7%A0%D7%95%D7%95%D7%93%D7%99%D7%9D%20NAVADIM&query_place_id=ChIJs6qRkhmlHRURJxJV40tYitI","חווה אורגנית"
"טאצ' תיקונים חכמים","4.7","113","דרך הערבה 56","גבע כרמל",,"IL",,"+972 52-248-7830","חנות לטלפונים ניידים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%90%D7%A6'%20%D7%AA%D7%99%D7%A7%D7%95%D7%A0%D7%99%D7%9D%20%D7%97%D7%9B%D7%9E%D7%99%D7%9D&query_place_id=ChIJXxwHsGm7HRURc1xyXWaDNlw","חנות לטלפונים ניידים"
"חוות מטעים מועצה אזורית גליל עליון","4.7","13",,,,"IL",,"","שירות חקלאי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%95%D7%95%D7%AA%20%D7%9E%D7%98%D7%A2%D7%99%D7%9D%20%D7%9E%D7%95%D7%A2%D7%A6%D7%94%20%D7%90%D7%96%D7%95%D7%A8%D7%99%D7%AA%20%D7%92%D7%9C%D7%99%D7%9C%20%D7%A2%D7%9C%D7%99%D7%95%D7%9F&query_place_id=ChIJf4yamUWjHhURq4p9_55i3yg","שירות חקלאי"
"א.מ.ב. חווה חקלאית ירדן בע""מ","4.5","6","האומן 1","בית שמש",,"IL","https://www.embdietarysupps.com/","+972 50-565-2650","יצרן מספוא",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90.%D7%9E.%D7%91.%20%D7%97%D7%95%D7%95%D7%94%20%D7%97%D7%A7%D7%9C%D7%90%D7%99%D7%AA%20%D7%99%D7%A8%D7%93%D7%9F%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJbVb3D1jEAhURlSRf1JmlScY","יצרן מספוא"
"Beewise technologies","4.4","29","Unnamed Road","בית העמק",,"IL","https://www.beewise.ag/","","משרדי החברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=Beewise%20technologies&query_place_id=ChIJrVmqPFzNHRURR8eOW-bBm8M","משרדי החברה"
"מרכז הטיס והתעופה ProPilot",,,"כביש ראשי","עיספיא",,"IL","https://www.propilot.co.il/","","מוסד הכשרה לתעופה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%98%D7%99%D7%A1%20%D7%95%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94%20ProPilot&query_place_id=ChIJTX04b4898gERJgP0p3rfwB0","מוסד הכשרה לתעופה"
"smart drones services Ltd",,,"א.ת","אלון תבור",,"IL","https://smartdrones.co.il/","+972 52-924-1051","ייצור מטוסים",,,,,,,"https://www.google.com/maps/search/?api=1&query=smart%20drones%20services%20Ltd&query_place_id=ChIJ0Zw1Cxmbx00Rw37tYlAu5Fs","ייצור מטוסים"
"הום סנטר עפולה","3.6","1489","קהילת ציון 19","עפולה",,"IL","https://www.homecenter.co.il/","+972 4-652-3059","חנות לציוד ""עשה זאת בעצמך""","חנות הכל לבית",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%9D%20%D7%A1%D7%A0%D7%98%D7%A8%20%D7%A2%D7%A4%D7%95%D7%9C%D7%94&query_place_id=ChIJt09nHNxTHBUR_Uqi3JQuWro","חנות לציוד ""עשה זאת בעצמך"""
"LIAD Weighing and Control Systems Ltd.","5","5","Sky Street Misgav Industrial Park Misgav",,,"IL","http://www.liadsmart.com/","+972 4-902-8800","ספק רכיבי אלקטרוניקה","ספק של ציוד תעשייתי",,,,,,"https://www.google.com/maps/search/?api=1&query=LIAD%20Weighing%20and%20Control%20Systems%20Ltd.&query_place_id=ChIJkZX8iko0HBURgwj0yJdIVQA","ספק רכיבי אלקטרוניקה"
