"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Camera City יבוא ושיווק ציוד צילום","4.7","446","מוטה גור 9","פתח תקווה",,"IL","http://www.cameracity.co.il/","+972 3-901-1900","חנות למצלמות","חנות לתיקון מצלמות","חנות לאביזרי תאורה","חנות צילום","שירות תיקונים למצלמות וידאו","חנות לסרטי וידאו",,,,"https://www.google.com/maps/search/?api=1&query=Camera%20City%20%D7%99%D7%91%D7%95%D7%90%20%D7%95%D7%A9%D7%99%D7%95%D7%95%D7%A7%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D&query_place_id=ChIJ_T-K2QI2HRURjFLkZ93TdZo","חנות למצלמות"
"הובי ניטרו - המרכז הישראלי לאופניים חשמליים ותחביבים בשלט רחוק","4.5","207","הסדנא 3","רעננה",,"IL","http://www.hobbynitro.net/","+972 54-597-8586","חנות אופניים","מתקן לאופניים","חנות לתיקון אופניים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%20%D7%A0%D7%99%D7%98%D7%A8%D7%95%20-%20%D7%94%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D%20%D7%97%D7%A9%D7%9E%D7%9C%D7%99%D7%99%D7%9D%20%D7%95%D7%AA%D7%97%D7%91%D7%99%D7%91%D7%99%D7%9D%20%D7%91%D7%A9%D7%9C%D7%98%20%D7%A8%D7%97%D7%95%D7%A7&query_place_id=ChIJkS7y42M4HRURmJVxJcR7HNw","חנות אופניים"
"גל מהנדסים אי.אנ.ג'י בע""מ","4.3","3","הלל יפה 11","חדרה",,"IL","http://www.gal-engineers.co.il/","+972 77-210-2520","מהנדס חשמל",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%9C%20%D7%9E%D7%94%D7%A0%D7%93%D7%A1%D7%99%D7%9D%20%D7%90%D7%99.%D7%90%D7%A0.%D7%92'%D7%99%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJ004s1xATHRURx__Qbww8Lys","מהנדס חשמל"
"ד""ר אבי אוחיון","5","147","צמוד לקניון, ברודצקי 43, כניסה A, קומה 4","תל אביב-יפו",,"IL","https://drohayon.com/","+972 52-797-9296","רופא עיניים","מנתח",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%22%D7%A8%20%D7%90%D7%91%D7%99%20%D7%90%D7%95%D7%97%D7%99%D7%95%D7%9F&query_place_id=ChIJOz0py95LHRURyJ1EAdAalvE","רופא עיניים"
"GIV Solutions Ltd","4.1","9","התדהר 17","רעננה",,"IL","http://www.giv-solutions.com/","+972 9-775-7117","יועץ מחשבים",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GIV%20Solutions%20Ltd&query_place_id=ChIJ7bzfrYo4HRURP5Pi4c472xI","יועץ מחשבים"
"אירו סול-פתרונות תעופתיים/AeroSol Composite Materials","4.3","20","בן ציון גליס 65","פתח תקווה",,"IL","https://www.aerosol.co.il/","+972 3-544-4102","חברת אירוספייס",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%A8%D7%95%20%D7%A1%D7%95%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA%20%D7%AA%D7%A2%D7%95%D7%A4%D7%AA%D7%99%D7%99%D7%9D%2FAeroSol%20Composite%20Materials&query_place_id=ChIJeyqUAk42HRURHQulZNZhwyM","חברת אירוספייס"
"סימפון סלולר","4.9","1660","קלאוזנר 2","רעננה",,"IL","https://simphone.co.il/","+972 77-501-0550","חנות לטלפונים ניידים","חנות אביזרים לטלפונים סלולריים","חנות לתיקון טלפונים ניידים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%99%D7%9E%D7%A4%D7%95%D7%9F%20%D7%A1%D7%9C%D7%95%D7%9C%D7%A8&query_place_id=ChIJ8XFhoxI4HRURV0ZCepZicVI","חנות לטלפונים ניידים"
"טיסני דור (דור המחשוב)","3.9","176","זבלודוביץ 5","פתח תקווה",,"IL","https://dorhm.co.il/","+972 3-903-3395","חנות תחביבים","מטוס","חנות רחפנים","חנות משחקים",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%A0%D7%99%20%D7%93%D7%95%D7%A8%20(%D7%93%D7%95%D7%A8%20%D7%94%D7%9E%D7%97%D7%A9%D7%95%D7%91)&query_place_id=ChIJ43RaBWE2HRURYOv8TvupAm4","חנות תחביבים"
"ביספיי - ציוד ריגול ואבטחה","4.7","122","עמל 46","פתח תקווה",,"IL","http://bespy.co.il/","+972 73-374-4790","חנות למוצרי אבטחה",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%91%D7%99%D7%A1%D7%A4%D7%99%D7%99%20-%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%90%D7%91%D7%98%D7%97%D7%94&query_place_id=ChIJC3lz1CY3HRURiAnGYTSKR_k","חנות למוצרי אבטחה"
"ג'י. אמ. אקס מערכות בע""מ","5","17","השדרה 1","צופית",,"IL","https://gmxsys.com/","+972 9-740-9554","ספק לציוד מדידה","חנות לציוד בנייה",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%99.%20%D7%90%D7%9E.%20%D7%90%D7%A7%D7%A1%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJrz4ZFgU5HRUR9rUNZEdYuAs","ספק לציוד מדידה"
"DRONZ צילום אווירי","4.8","4","הרברט סמואל 66","חדרה",,"IL",,"+972 72-283-6666","שירות הפקת וידאו","חנות ציוד לכלי טיס","צלם",,,,,,,"https://www.google.com/maps/search/?api=1&query=DRONZ%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99&query_place_id=ChIJ5_wrpt8THRURxIvBVZsCpk8","שירות הפקת וידאו"
"חנות טיסנים ורחפנים","1","1","הגביש 3","נתניה",,"IL",,"",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%A0%D7%95%D7%AA%20%D7%98%D7%99%D7%A1%D7%A0%D7%99%D7%9D%20%D7%95%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJpVZklYA_HRURoBTM7d1uXlw",
"גאדג'טשופ","4.4","979","דרך ששת הימים 14","בני ברק",,"IL","http://www.gadgetshop.co.il/","+972 3-600-5141","חנות מתנות",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%90%D7%93%D7%92'%D7%98%D7%A9%D7%95%D7%A4&query_place_id=ChIJTf8dtsZLHRUR7jQOOjakwSI","חנות מתנות"
"רואים עולם - צילום ואלקטרוניקה בע""מ","4.7","258","האלוף דוד מרכוס 33","פתח תקווה",,"IL","http://video.org.il/","+972 3-904-5805","חנות צילום","חנות חשמל ואלקטרוניקה",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%95%D7%90%D7%99%D7%9D%20%D7%A2%D7%95%D7%9C%D7%9D%20-%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%95%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%95%D7%A0%D7%99%D7%A7%D7%94%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJu_XRV1s2HRURznKbYVLvJdo","חנות צילום"
"צילומי אוויר קורסים והדרכות רחפנים - NVDF","5","8","התלתן 22","נתניה",,"IL","https://www.instagram.com/nvdf365/","+972 50-247-1444","צלם אווירי",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20-%20NVDF&query_place_id=ChIJi4XoWAs_HRUR8LCbuu2Lg0Q","צלם אווירי"
"הוביז בע""מ","4","51","יד חרוצים 6","כפר סבא",,"IL","http://www.hobbiz.co.il/","+972 72-384-5200","משרדי החברה",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%D7%96%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJUTEclMKiAhURB24vhhCVAdg","משרדי החברה"
"קאמרה פלוס","4.6","93","החרושת 40","רעננה",,"IL","http://www.cameraplus.co.il/","+972 9-740-8858","חנות צילום",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%90%D7%9E%D7%A8%D7%94%20%D7%A4%D7%9C%D7%95%D7%A1&query_place_id=ChIJ_7pyn2E4HRURmQpnH_7-_9Y","חנות צילום"
"ZDRONE Race Drone Shop","3.5","16","ד""ר דן ויליאם ג'אוי 21","חדרה",,"IL","https://zdrone.co.il/","+972 50-774-7477","חנות רחפנים",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ZDRONE%20Race%20Drone%20Shop&query_place_id=ChIJF_YeiAgTHRURZKY81PZltL8","חנות רחפנים"
"Rc Pilot","4.8","24","יוסף לוי 2","קריית ביאליק",,"IL","http://www.rcpilot.co.il/","+972 4-874-7313","חנות תחביבים",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rc%20Pilot&query_place_id=ChIJG0OVQka2HRURnDdE33Ijgyc","חנות תחביבים"
"טיסן חיפה","4.6","158","שדרות ההסתדרות 54","חיפה",,"IL","http://www.tissanhaifa.co.il/","+972 4-864-5076","חנות תחביבים",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%9F%20%D7%97%D7%99%D7%A4%D7%94&query_place_id=ChIJYUZ9YHi6HRURTYXKOEXzhcM","חנות תחביבים"
"מנחת הבונים","4.7","6",,"הבונים",,"IL",,"","מסלול המראה",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A0%D7%97%D7%AA%20%D7%94%D7%91%D7%95%D7%A0%D7%99%D7%9D&query_place_id=ChIJaXtfasOgHRURwnIDD7fs60Q","מסלול המראה"
"ניב מדידות והנדסה אזרחית בע""מ",,,"דרך בר יהודה 300","חיפה",,"IL",,"+972 4-820-2860","מודד",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%99%D7%91%20%D7%9E%D7%93%D7%99%D7%93%D7%95%D7%AA%20%D7%95%D7%94%D7%A0%D7%93%D7%A1%D7%94%20%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJpadKWn26HRURhc2TwO9tHmo","מודד"
"פורטל החקלאות הישראלי","4.7","10","קיבוץ החותרים","החותרים",,"IL","https://www.israel.agrisupportonline.com/","+972 53-944-6765","חקלאות",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%95%D7%A8%D7%98%D7%9C%20%D7%94%D7%97%D7%A7%D7%9C%D7%90%D7%95%D7%AA%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99&query_place_id=ChIJZwmN4aGkHRURFYAB8ZgeeP8","חקלאות"
"Fix Drone צפון - מעבדת רחפנים DJI","1.6","7","הדוברת","מגדל העמק",,"IL","https://fixdrone.coi.co.il/","+972 52-261-3173","מעבדה","חנות רחפנים",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fix%20Drone%20%D7%A6%D7%A4%D7%95%D7%9F%20-%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20DJI&query_place_id=ChIJHcAYALtNHBURdpbfemx2p3Q","מעבדה"
"אלטה אינוביישן","4.9","16","דרך השדות","נהלל",,"IL","http://www.alta.team/","+972 3-774-4383","חברת תעופה",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%D7%98%D7%94%20%D7%90%D7%99%D7%A0%D7%95%D7%91%D7%99%D7%99%D7%A9%D7%9F&query_place_id=ChIJKZEbBGdLHRUR3LzEmZqLexE","חברת תעופה"
"איטומן בע""מ- מומחי איטום ושיקום מבנים",,,"לואי פסטר 3","חיפה",,"IL","http://www.itumen.co.il/","+972 77-558-3762","חברת בנייה","שירות שיקום בניינים","חברת איטום",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%98%D7%95%D7%9E%D7%9F%20%D7%91%D7%A2%22%D7%9E-%20%D7%9E%D7%95%D7%9E%D7%97%D7%99%20%D7%90%D7%99%D7%98%D7%95%D7%9D%20%D7%95%D7%A9%D7%99%D7%A7%D7%95%D7%9D%20%D7%9E%D7%91%D7%A0%D7%99%D7%9D&query_place_id=ChIJMWqSrJa7HRURnXjp0GnwK7A","חברת בנייה"
"XFLIGHT","5","18","שדרות הגעתון 1","נהריה",,"IL","http://xflight-fpv.com/","+972 54-998-8774","חנות רחפנים",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=XFLIGHT&query_place_id=ChIJRegxi3rPHRUReBgEs683WZA","חנות רחפנים"
"סלתק חיפה מוצרי חשמל מחשבים ואלקטרוניקה","4","464","נורדאו 10","חיפה",,"IL","https://www.cell-tec.co.il/","+972 73-337-9090","חנות למכשירי חשמל","חנות לאביזרי מחשב","יועץ מחשבים","שירותי תקשורת מחשבים","חנות מחשבים","חנות חשמל ואלקטרוניקה","חנות סכינים","חנות למחשבים משומשים","חנות כל בו","https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%9C%D7%AA%D7%A7%20%D7%97%D7%99%D7%A4%D7%94%20%D7%9E%D7%95%D7%A6%D7%A8%D7%99%20%D7%97%D7%A9%D7%9E%D7%9C%20%D7%9E%D7%97%D7%A9%D7%91%D7%99%D7%9D%20%D7%95%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%95%D7%A0%D7%99%D7%A7%D7%94&query_place_id=ChIJubnfUky6HRURTLpNNVaSD8A","חנות למכשירי חשמל"
"S.A צילום אוויר והדרכת מטיסים","5","11",,,,,"https://sa-drone.co.il/","+972 50-733-6218","צלם אווירי","Service establishment",,,,,,,,"https://www.google.com/maps/search/?api=1&query=S.A%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%AA%20%D7%9E%D7%98%D7%99%D7%A1%D7%99%D7%9D&query_place_id=ChIJP4f62Uc1mGkRnVcoSSQA5mA","צלם אווירי"
"הארגון הישראלי לרב להב רחפנים",,,"אלכסנדר 8","רמת גן",,"IL","https://www.icd.org.il/","+972 52-507-6677","שירות השכרת כלי טיס",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJDVdK6_1LHRURn62jQKQeqFg","שירות השכרת כלי טיס"
"האחים יוגנד","4.6","376","יצחק שדה 28","תל אביב-יפו",,"IL","http://www.j-sale.co.il/","+972 3-796-9000","חנות צילום","חנות לתיקון מצלמות","חנות למצלמות","בית ספר לצילום","שירות צילום","סטודיו לצילום","שירות תיקונים למצלמות וידאו","חנות לסרטי וידאו",,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%97%D7%99%D7%9D%20%D7%99%D7%95%D7%92%D7%A0%D7%93&query_place_id=ChIJpb_yq2RLHRURcQU-slqX_8M","חנות צילום"
