"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"אל די איי הפקות וידאו","5","28","מונטיפיורי 1","תל אביב-יפו",,"IL","https://www.lda-air.com/","+972 54-331-3165","צלם אווירי","צילום מסחרי","שירות צילום","שירות עריכת וידאו",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%20%D7%93%D7%99%20%D7%90%D7%99%D7%99%20%D7%94%D7%A4%D7%A7%D7%95%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95&query_place_id=ChIJ-cyDjIKfAhURCMz3Lyg5yl0","צלם אווירי"
"צלם רחפן וידאו וסטילס",,,"אלנבי","תל אביב-יפו",,"IL",,"+972 50-889-0626","סטודיו לצילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%9C%D7%9D%20%D7%A8%D7%97%D7%A4%D7%9F%20%D7%95%D7%99%D7%93%D7%90%D7%95%20%D7%95%D7%A1%D7%98%D7%99%D7%9C%D7%A1&query_place_id=ChIJ-8j8jkurHRURPP5qV2gFa44","סטודיו לצילום"
"SIRI Ariel Photography-סירי צילום אויר","5","3","דרך הים 17","גני תקווה",,"IL","https://siriap.com/","+972 54-811-1385","תא צילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SIRI%20Ariel%20Photography-%D7%A1%D7%99%D7%A8%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%99%D7%A8&query_place_id=ChIJCa-L_EpLHRURX1SppTgM4Wo","תא צילום"
"שני גינזבורג צילום - צלמת הריון, ניו בורן, גיל שנה, תדמית, הצעות נישואין ועוד!","5","10","טופז 9","באר יעקב",,"IL","https://www.instagram.com/shani.ginzburg?igsh=MWloOHR1ZjIxdTlibA==","+972 50-580-5548","סטודיו לצילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A9%D7%A0%D7%99%20%D7%92%D7%99%D7%A0%D7%96%D7%91%D7%95%D7%A8%D7%92%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20-%20%D7%A6%D7%9C%D7%9E%D7%AA%20%D7%94%D7%A8%D7%99%D7%95%D7%9F%2C%20%D7%A0%D7%99%D7%95%20%D7%91%D7%95%D7%A8%D7%9F%2C%20%D7%92%D7%99%D7%9C%20%D7%A9%D7%A0%D7%94%2C%20%D7%AA%D7%93%D7%9E%D7%99%D7%AA%2C%20%D7%94%D7%A6%D7%A2%D7%95%D7%AA%20%D7%A0%D7%99%D7%A9%D7%95%D7%90%D7%99%D7%9F%20%D7%95%D7%A2%D7%95%D7%93!&query_place_id=ChIJv2SW93FfEk0RKX1YusNgRMI","סטודיו לצילום"
"גליץ בית הספר לצילום","4.7","131","אחד העם 39","תל אביב-יפו",,"IL","http://www.galitz.co.il/","+972 3-566-9982","בית ספר לצילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%9C%D7%99%D7%A5%20%D7%91%D7%99%D7%AA%20%D7%94%D7%A1%D7%A4%D7%A8%20%D7%9C%D7%A6%D7%99%D7%9C%D7%95%D7%9D&query_place_id=ChIJ_WVG18ZLHRUR8VS1npNpRCE","בית ספר לצילום"
"ישראל גוך I.G DRONE",,,"ברקאי 11","רמת גן",,"IL","https://sites.google.com/view/igdrone/%D7%91%D7%99%D7%AA?authuser=3","+972 54-614-9361","שירות צילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%92%D7%95%D7%9A%20I.G%20DRONE&query_place_id=ChIJM0QoNN9LHRURBCsVNWPrDHg","שירות צילום"
"האחים יוגנד","4.6","376","יצחק שדה 28","תל אביב-יפו",,"IL","http://www.j-sale.co.il/","+972 3-796-9000","חנות למצלמות","חנות לתיקון מצלמות","חנות צילום","בית ספר לצילום","שירות צילום","סטודיו לצילום","שירות תיקונים למצלמות וידאו","חנות לסרטי וידאו","https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%97%D7%99%D7%9D%20%D7%99%D7%95%D7%92%D7%A0%D7%93&query_place_id=ChIJpb_yq2RLHRURcQU-slqX_8M","חנות למצלמות"
"צילום אירועים פוטושוט","4.9","88","צילום אירועים, צילום חתונה","אשדוד",,"IL","http://www.photoshot.co.il/","+972 52-828-2308","צלם חתונות",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%20%D7%A4%D7%95%D7%98%D7%95%D7%A9%D7%95%D7%98&query_place_id=ChIJEecFh12iAhURysCxmZSNj_o","צלם חתונות"
"צלם וידיאו יובל אסף","5","86",,,,,,"+972 52-849-9007","צלם","צילום מסחרי","Service establishment","צלם חתונות",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%9C%D7%9D%20%D7%95%D7%99%D7%93%D7%99%D7%90%D7%95%20%D7%99%D7%95%D7%91%D7%9C%20%D7%90%D7%A1%D7%A3&query_place_id=ChIJEYoUzRG7AhUR_8hQGtqG0nA","צלם"
"יסעור דורון","4.5","2","הר דפנה 11","סביון",,"IL","http://www.crt-media.com/","+972 54-255-5900","קבלנות אנרגיה סולארית","עיצוב אדריכלי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A1%D7%A2%D7%95%D7%A8%20%D7%93%D7%95%D7%A8%D7%95%D7%9F&query_place_id=ChIJYwIgtpo1HRURTDOOVYXZQE8","קבלנות אנרגיה סולארית"
"איי רנט","4.2","48","כצנלסון 124","גבעתיים",,"IL","https://i-rent.co.il/","+972 3-676-3366","חנות מחשבים","שירות תיקונים למחשב","שירותי מחשוב ותמיכה טכנית","חנות לתיקון מוצרים אלקטרוניים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%99%20%D7%A8%D7%A0%D7%98&query_place_id=ChIJz49c9bRLHRURmsf-rc0qNdI","חנות מחשבים"
"צילום ועריכת וידאו - סטודיו ediTal","5","53","מרזוק ועזר","קרית אונו",,"IL","http://www.edital.co.il/","+972 54-804-2251","שירות הפקת וידאו","שירות עריכת וידאו",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%95%D7%A2%D7%A8%D7%99%D7%9B%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95%20-%20%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95%20ediTal&query_place_id=ChIJcy88pXlKHRURn3AIfDQ0SiA","שירות הפקת וידאו"
"המאגר לוקיישנים Hamaagar locations","3.8","5","דרך המכבים 22","ראשון לציון",,"IL","http://hamaagar.co.il/","+972 3-533-3148","שירות עסק-לעסק",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%90%D7%92%D7%A8%20%D7%9C%D7%95%D7%A7%D7%99%D7%99%D7%A9%D7%A0%D7%99%D7%9D%20Hamaagar%20locations&query_place_id=ChIJe-U1wlC0AhUR3p-u1dQUID4","שירות עסק-לעסק"
"דוקטור ספיי ציוד ריגול ומעקב- SPY SHOP","4.4","121","דרך העצמאות 43, כניסה א","יהוד מונוסון",,"IL","http://www.drspy.co.il/","+972 77-700-2462","חנות למוצרי אבטחה","חנות לציוד צבאי","חנות צילום","צילום",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%D7%95%D7%A7%D7%98%D7%95%D7%A8%20%D7%A1%D7%A4%D7%99%D7%99%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%9E%D7%A2%D7%A7%D7%91-%20SPY%20SHOP&query_place_id=ChIJJfUA3KNMHRURsgr5wYIujM8","חנות למוצרי אבטחה"
"ארליך מרכז הצילום","4.5","1748","יגאל אלון 92 פינת דליה רביקוביץ'), בניין אשדר, כניסה ה קומה 1 חנייה חינם בחניון דרך רח' קרמינצקי 1 חניה בקומה 2- במקומות המסומנים, יגאל אלון 90","תל אביב-יפו",,"IL","http://www.erlich.co.il/","+972 3-562-7292","חנות צילום","מעבד תמונות פספורט",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%A8%D7%9C%D7%99%D7%9A%20%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%A6%D7%99%D7%9C%D7%95%D7%9D&query_place_id=ChIJH7T057hMHRURajg0R_9mR78","חנות צילום"
"פנוויז'ן סיורים וירטואליים Panovision virtual tours","5","13","רבן יוחנן בן זכאי 15","אלעד",,"IL","http://www.panovision.co.il/","+972 3-909-9336","שירות לשיווק באינטרנט","צלם אווירי","צלם","שירות צילום","סטודיו לצילום","שירות הפקת וידאו",,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A0%D7%95%D7%95%D7%99%D7%96'%D7%9F%20%D7%A1%D7%99%D7%95%D7%A8%D7%99%D7%9D%20%D7%95%D7%99%D7%A8%D7%98%D7%95%D7%90%D7%9C%D7%99%D7%99%D7%9D%20Panovision%20virtual%20tours&query_place_id=ChIJfRcnyfgzHRURMNdmvawFk6c","שירות לשיווק באינטרנט"
"גאדג'ט-ליין - מימד חדש של מתנות","3.8","403","שדרות המעפילים 36","תל אביב-יפו",,"IL","https://www.gadgetline.co.il/","+972 3-574-4086","חנות מתנות",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%90%D7%93%D7%92'%D7%98-%D7%9C%D7%99%D7%99%D7%9F%20-%20%D7%9E%D7%99%D7%9E%D7%93%20%D7%97%D7%93%D7%A9%20%D7%A9%D7%9C%20%D7%9E%D7%AA%D7%A0%D7%95%D7%AA&query_place_id=ChIJ57Vg1L5LHRURDs0T_G6ZaxI","חנות מתנות"
"צילום אווירי | DigitalSky",,,"צלילי חנינא 9","תל אביב-יפו",,"IL","https://www.digital-sky.co.il/","+972 58-741-7411","צילום מסחרי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%20%7C%20DigitalSky&query_place_id=ChIJd4J2KVBLHRURtfp3-Fu13wA","צילום מסחרי"
"לדרמן צילומי אוויר lederman.air.photography",,,"נחל שורק 31","בית שמש",,"IL","https://www.instagram.com/invites/contact/?i=1lrtz1eydphk&utm_content=3d1hpzo%E2%80%8E%E2%80%8F","+972 55-723-3443","צלם אווירי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%93%D7%A8%D7%9E%D7%9F%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20lederman.air.photography&query_place_id=ChIJY0GCYLPDAhURE6ieJdMvx5M","צלם אווירי"
"צילומי אוויר - ORNIR","4.4","5","מזל אריה 4/7","ירושלים",,"IL","http://www.ornir.co.il/aerial-photography-c20jw","+972 52-338-1763","צלם","שירות מיפוי","שירות הפקת וידאו",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20-%20ORNIR&query_place_id=ChIJ2UN7D2oqAxURosEbGhnAzP8","צלם"
"צביקה ליברמן, צילום, עריכה והפקה","5","11","נחל דליה 25","מודיעין מכבים רעות",,"IL","http://www.zpro.co.il/%20%20https://www.youtube.com/@oritben100","+972 52-627-6665","שירות עריכת וידאו",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%91%D7%99%D7%A7%D7%94%20%D7%9C%D7%99%D7%91%D7%A8%D7%9E%D7%9F%2C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%2C%20%D7%A2%D7%A8%D7%99%D7%9B%D7%94%20%D7%95%D7%94%D7%A4%D7%A7%D7%94&query_place_id=ChIJZaRbGpPNAhURuWRnbAIeWlI","שירות עריכת וידאו"
"צילום ועריכת וידאו סתיו גטניו","5","27","דוד סחרוב 22","ראשון לציון",,"IL","https://linktr.ee/STAV_GATENIO","+972 50-455-7400","סוכנות פרסום","צילום מסחרי","שירות לשיווק באינטרנט","סוכנות שיווק","סוכנות צילום","צלם","סטודיו לצילום","צלם חתונות","https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%95%D7%A2%D7%A8%D7%99%D7%9B%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95%20%D7%A1%D7%AA%D7%99%D7%95%20%D7%92%D7%98%D7%A0%D7%99%D7%95&query_place_id=ChIJq-n8Q6dx4qMR0KbnifzP0-Y","סוכנות פרסום"
"שמעון כץ וידאו - Shimon Katz videography","5","7","הארזים 86","בית שמש",,"IL","http://www.shimonkatz.co.il/","+972 54-245-8190","שירות צילום","שירות הפקת וידאו",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A9%D7%9E%D7%A2%D7%95%D7%9F%20%D7%9B%D7%A5%20%D7%95%D7%99%D7%93%D7%90%D7%95%20-%20Shimon%20Katz%20videography&query_place_id=ChIJEcc8s_nDAhURHV6kYG9dub8","שירות צילום"
"HOOP",,,"חובבי ציון 53","תל אביב-יפו",,"IL",,"","צילום מסחרי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=HOOP&query_place_id=ChIJleYPJNNNHRURobqsOJ6KA4o","צילום מסחרי"
"שקם אלקטריק דיוטי פרי","2.3","214","טרמינל 3, נמל תעופה בן גוריון","לוד",,"IL","https://shekem-df.co.il/","+972 1-700-555-489","חנות חשמל ואלקטרוניקה",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A9%D7%A7%D7%9D%20%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%99%D7%A7%20%D7%93%D7%99%D7%95%D7%98%D7%99%20%D7%A4%D7%A8%D7%99&query_place_id=ChIJ2dK9hRfLAhURSvgJ1-Ss74Y","חנות חשמל ואלקטרוניקה"
"איתמר שגב צלם ארועים","4.8","5","מנחם מנדל משקלוב 18","ירושלים",,"IL",,"+972 58-767-1736","צלם",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%AA%D7%9E%D7%A8%20%D7%A9%D7%92%D7%91%20%D7%A6%D7%9C%D7%9D%20%D7%90%D7%A8%D7%95%D7%A2%D7%99%D7%9D&query_place_id=ChIJ8WvVU9rXAhURID3EbpqjqXY","צלם"
"מסטיק הפקות - צילום אירועים","5","76","דרך הים 4","אשקלון",,"IL","https://www.mastikpro.com/","+972 54-235-5568","צלם חתונות","שירות צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%98%D7%99%D7%A7%20%D7%94%D7%A4%D7%A7%D7%95%D7%AA%20-%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&query_place_id=ChIJRUkXYPSRAhURuNz_2u636ps","צלם חתונות"
