"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"חברת י.ש מודד מוסמך | מדידות הנדסיות | צילום אוירי","5","1","רחבעם זאבי 40","נס ציונה",,"IL",,"+972 50-766-1562","מודד","צלם אווירי",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%91%D7%A8%D7%AA%20%D7%99.%D7%A9%20%D7%9E%D7%95%D7%93%D7%93%20%D7%9E%D7%95%D7%A1%D7%9E%D7%9A%20%7C%20%D7%9E%D7%93%D7%99%D7%93%D7%95%D7%AA%20%D7%94%D7%A0%D7%93%D7%A1%D7%99%D7%95%D7%AA%20%7C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%99%D7%A8%D7%99&query_place_id=ChIJi6x95bu3AhUR0A4RIAkVBaE","מודד"
"גאדג'טס","2.5","4","ילדי טהרן 3","ראשון לציון",,"IL","https://www.facebook.com/HobbyGadgets","+972 3-532-0346","חנות חשמל ואלקטרוניקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%90%D7%93%D7%92'%D7%98%D7%A1&query_place_id=ChIJr6xDj4izAhURkxbFrqjP114","חנות חשמל ואלקטרוניקה"
"May Fly שירותי צילום אוויריים","5","14",,"שדות ים",,"IL","http://maydfly.com/","+972 52-879-5365","צלם אווירי","צלם","שירות צילום","צלם חתונות",,,,"https://www.google.com/maps/search/?api=1&query=May%20Fly%20%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%99%D7%9D&query_place_id=ChIJHx1sbYYNHRUR0oTKaAbNtno","צלם אווירי"
"Tony3d",,,"אהוד קינמון 33","בת ים",,"IL","http://www.tony3d.net/","+972 54-739-9300","ייצור מודלים אדריכליים והנדסיים","שירות חיתוך בלייזר","חברה לעיצוב מודלים","חנות דגמים","שירות הדפסה תלת-ממדית",,,"https://www.google.com/maps/search/?api=1&query=Tony3d&query_place_id=ChIJsbX7G3KzAhURBXdOcISAtgI","ייצור מודלים אדריכליים והנדסיים"
"פרינט תלת מימד בע""מ",,,"דרך בן צבי 84","תל אביב-יפו",,"IL","http://www.print3d.ltd/","+972 3-647-3338","מועדון לבניית דגמים","ייצור מודלים אדריכליים והנדסיים",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A8%D7%99%D7%A0%D7%98%20%D7%AA%D7%9C%D7%AA%20%D7%9E%D7%99%D7%9E%D7%93%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJey-c9FhKHRURmkAQ_QSToqo","מועדון לבניית דגמים"
"3DClick שילוט, מיתוג, חיפוי קירות והדפסות תלת מימד.","5","36","The 12th Hebrew Battalion","רמלה",,"IL","https://3dclick.co.il/","+972 50-228-8231","שירות הדפסה תלת-ממדית","שירות הפקת דפוס","חנות שלטי נאון","חנות שלטים","חנות שלטי ויניל",,,"https://www.google.com/maps/search/?api=1&query=3DClick%20%D7%A9%D7%99%D7%9C%D7%95%D7%98%2C%20%D7%9E%D7%99%D7%AA%D7%95%D7%92%2C%20%D7%97%D7%99%D7%A4%D7%95%D7%99%20%D7%A7%D7%99%D7%A8%D7%95%D7%AA%20%D7%95%D7%94%D7%93%D7%A4%D7%A1%D7%95%D7%AA%20%D7%AA%D7%9C%D7%AA%20%D7%9E%D7%99%D7%9E%D7%93.&query_place_id=ChIJxyyC-NrHGwQR-WZdOgd_ymI","שירות הדפסה תלת-ממדית"
"לייזר מודלינג ישראל בע""מ","3.4","5","הבית האדום, בן גוריון 4","נס ציונה",,"IL","http://www.lmi.co.il/","+972 72-279-1170","שירות הדפסה תלת-ממדית","יצרן מכונות","יצירת תבניות","חברה לייצור פלסטיק",,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%99%D7%99%D7%96%D7%A8%20%D7%9E%D7%95%D7%93%D7%9C%D7%99%D7%A0%D7%92%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJq5BBigi3AhURa3pKF8jC9Dg","שירות הדפסה תלת-ממדית"
"Impact labs","4.7","29","שפע טל 10","תל אביב-יפו",,"IL","https://www.impactlabs.tech/","+972 79-555-1444","שירות הדפסה תלת-ממדית","שירות טכנולוגיה לאירועים","בית מלאכה לתיקון מכונות","יצרן","בית מלאכה למתכות","פארק טכנולוגי","שיעור נגרות","https://www.google.com/maps/search/?api=1&query=Impact%20labs&query_place_id=ChIJbQgbcaRMHRURgIGeLmac_e8","שירות הדפסה תלת-ממדית"
"פלקסי-ג'ט מיפוי אדריכלי בע""מ",,,"הנדסה: מבנן 4 מרכז האומנים מושב בית חנן, שיווק : מגדלי התאומים קומה 2 דרך ז'בוטינסקי רמת גן","מושב בית חנן/ רמת גן",,"IL","http://www.flexijet.co.il/","+972 52-230-8565","שירות מיפוי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%A7%D7%A1%D7%99-%D7%92'%D7%98%20%D7%9E%D7%99%D7%A4%D7%95%D7%99%20%D7%90%D7%93%D7%A8%D7%99%D7%9B%D7%9C%D7%99%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJHzDverW2AhUR9bAcVe8tZ8M","שירות מיפוי"
"IC3D המרכז הישראלי לתלת מימד","5","1",,,,,"http://ic3d.co.il/","+972 52-811-2323","שירותי הוראה","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=IC3D%20%D7%94%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%AA%D7%9C%D7%AA%20%D7%9E%D7%99%D7%9E%D7%93&query_place_id=ChIJ7eab86XNAhURaN5L8X6-4kc","שירותי הוראה"
"תחפושות לפורים 2026 - בית הצעצוע","4.8","1576","א.ת, יד חרוצים 16","ירושלים",,"IL","https://www.toyhouse.co.il/","+972 2-671-8282","חנות צעצועים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%AA%D7%97%D7%A4%D7%95%D7%A9%D7%95%D7%AA%20%D7%9C%D7%A4%D7%95%D7%A8%D7%99%D7%9D%202026%20-%20%D7%91%D7%99%D7%AA%20%D7%94%D7%A6%D7%A2%D7%A6%D7%95%D7%A2&query_place_id=ChIJK6ydRx4oAxURTlUTXqOnSJo","חנות צעצועים"
"רחפני תל אביב Tlvdrones","4.9","81","שיינקין 76","גבעתיים",,"IL",,"+972 50-511-2127","חנות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20Tlvdrones&query_place_id=ChIJwZuO70FLHRURzvo8jz9jaz0","חנות"
"לול טי וי","4.7","361",,"גבעת השלושה",,"IL","http://www.looltv.com/","+972 3-656-5500","חנות ציוד לכלי טיס","חנות",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%95%D7%9C%20%D7%98%D7%99%20%D7%95%D7%99&query_place_id=ChIJ5UiVCmA5HRURifxYEutdsuw","חנות ציוד לכלי טיס"
"אירו סול-פתרונות תעופתיים/AeroSol Composite Materials","4.3","20","בן ציון גליס 65","פתח תקווה",,"IL","https://www.aerosol.co.il/","+972 3-544-4102","חברת אירוספייס",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%A8%D7%95%20%D7%A1%D7%95%D7%9C-%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA%20%D7%AA%D7%A2%D7%95%D7%A4%D7%AA%D7%99%D7%99%D7%9D%2FAeroSol%20Composite%20Materials&query_place_id=ChIJeyqUAk42HRURHQulZNZhwyM","חברת אירוספייס"
"הארגון הישראלי לרב להב רחפנים",,,"אלכסנדר 8","רמת גן",,"IL","https://www.icd.org.il/","+972 52-507-6677","שירות השכרת כלי טיס",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJDVdK6_1LHRURn62jQKQeqFg","שירות השכרת כלי טיס"
"עולם הרחפנים","4.6","91","סוקולוב 80","רמת השרון",,"IL","http://www.bargad.co.il/","+972 52-665-3331","ספק מוצרי קידום מכירות","מעבדה",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJSSdVZmw2HRUR_j0On7cbIaE","ספק מוצרי קידום מכירות"
"DJI Israel","4.2","603","משכית 26","הרצליה",,"IL","https://www.djistore.benda.co.il/","+972 73-266-0699","חנות חשמל ואלקטרוניקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=DJI%20Israel&query_place_id=ChIJo5dgSmRJHRURNIccpfdGpkI","חנות חשמל ואלקטרוניקה"
"Race Drones - רחפני FPV","5","5","irgon","כפר הס",,"IL","https://race-drones.com/","+972 55-556-4596","חנות רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=Race%20Drones%20-%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20FPV&query_place_id=ChIJ5XgJEeA5HRURHFtdqfZyTZU","חנות רחפנים"
"הארגון הישראלי לרב להב רחפנים","4.9","7","יד חרוצים 27","נתניה",,"IL","http://www.icd.org.il/","+972 52-507-6677","חברת תעופה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJFYM4f1I_HRURUnqVCLY7W4Q","חברת תעופה"
"סיטידרונס רחפנים City Drones UAV","5","2","עתיר ידע 21, קומה 2","כפר סבא",,"IL","http://www.citydronesuav.com/","+972 72-258-7788","מהנדס אווירונאוטיקה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%99%D7%98%D7%99%D7%93%D7%A8%D7%95%D7%A0%D7%A1%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20City%20Drones%20UAV&query_place_id=ChIJGTRJQbDJAhURv23-0IQv_ns","מהנדס אווירונאוטיקה"
"ארסיזון","4.8","43","יד חרוצים 14","ירושלים",,"IL","http://www.rczone.co.il/","+972 54-720-0722","חנות צעצועים","חנות לחלקי מכוניות מרוץ",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%A8%D7%A1%D7%99%D7%96%D7%95%D7%9F&query_place_id=ChIJIzibsx8oAxURjxu8hNtOurA","חנות צעצועים"
"קובי dji מעבדת תיקונים לרחפנים","5","146","אלול 30","תל אביב-יפו",,"IL","https://www.facebook.com/profile.php?id=100063533410758&mibextid=JRoKGi","+972 50-746-2441","חנות רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%95%D7%91%D7%99%20dji%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%AA%D7%99%D7%A7%D7%95%D7%A0%D7%99%D7%9D%20%D7%9C%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJ1VmUVsxLHRURnJG6KlGhgqg","חנות רחפנים"
"ג'י. אמ. אקס מערכות בע""מ","5","17","השדרה 1","צופית",,"IL","https://gmxsys.com/","+972 9-740-9554","ספק לציוד מדידה","חנות לציוד בנייה",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%99.%20%D7%90%D7%9E.%20%D7%90%D7%A7%D7%A1%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJrz4ZFgU5HRUR9rUNZEdYuAs","ספק לציוד מדידה"
"S.A צילום אוויר והדרכת מטיסים","5","11",,,,,"https://sa-drone.co.il/","+972 50-733-6218","צלם אווירי","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=S.A%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%AA%20%D7%9E%D7%98%D7%99%D7%A1%D7%99%D7%9D&query_place_id=ChIJP4f62Uc1mGkRnVcoSSQA5mA","צלם אווירי"
"COPTERPIX PRO","5","8","החרש 1","אשקלון",,"IL","https://www.copterpix.pro/","+972 54-669-8000","יצרן","ייצור מטוסים",,,,,,"https://www.google.com/maps/search/?api=1&query=COPTERPIX%20PRO&query_place_id=ChIJT7z3bGmDAhURz9JcnNmt4r4","יצרן"
"סקיישוט צילום אווירי בעזרת רחפנים","5","12","קרליבך 4","תל אביב-יפו",,"IL","http://www.skyshot.co.il/","+972 52-268-7951","צלם אווירי","צלם",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%A7%D7%99%D7%99%D7%A9%D7%95%D7%98%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%20%D7%91%D7%A2%D7%96%D7%A8%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJr-qG52azAhUR9KPGPrFVLjE","צלם אווירי"
"Almo-GIS",,,,"מעגן מיכאל",,"IL","http://www.almogis.com/","+972 52-378-4566","שירות מיפוי",,,,,,,"https://www.google.com/maps/search/?api=1&query=Almo-GIS&query_place_id=ChIJTYPpAH0LHRURUpCtv1vk_s0","שירות מיפוי"
"Fix Drone צפון - מעבדת רחפנים DJI","1.6","7","הדוברת","מגדל העמק",,"IL","https://fixdrone.coi.co.il/","+972 52-261-3173","מעבדה",,,,,,,"https://www.google.com/maps/search/?api=1&query=Fix%20Drone%20%D7%A6%D7%A4%D7%95%D7%9F%20-%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20DJI&query_place_id=ChIJHcAYALtNHBURdpbfemx2p3Q","מעבדה"
"מינחת מצפה רמון","3","8","מינחת מצפה רמון","מצפה רמון",,"IL",,"","שדה תעופה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%99%D7%A0%D7%97%D7%AA%20%D7%9E%D7%A6%D7%A4%D7%94%20%D7%A8%D7%9E%D7%95%D7%9F&query_place_id=ChIJVVVVFYbzARURfy-Dni6jSmM","שדה תעופה"
"פלייסייף Flysafe","4.8","48",,,,,,"+972 50-599-2222","חנות רחפנים","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%99%D7%99%D7%A1%D7%99%D7%99%D7%A3%20Flysafe&query_place_id=ChIJe0W4g5NnAhURAFbIMtsPapc","חנות רחפנים"
"הוביז בע""מ","4","51","יד חרוצים 6","כפר סבא",,"IL","http://www.hobbiz.co.il/","+972 72-384-5200","משרדי החברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%D7%96%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJUTEclMKiAhURB24vhhCVAdg","משרדי החברה"
"גלקסיה - טיסני ראשון","2.4","14","רוטשילד 114","ראשון לציון",,"IL","http://www.galaxia.co.il/","+972 3-967-7101","חנות לדגמי כלי טיס",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%9C%D7%A7%D7%A1%D7%99%D7%94%20-%20%D7%98%D7%99%D7%A1%D7%A0%D7%99%20%D7%A8%D7%90%D7%A9%D7%95%D7%9F&query_place_id=ChIJo53LbhS0AhURS66DTrMbFjA","חנות לדגמי כלי טיס"
"SPOTLIGHT Drone Solutions","5","4","שכ 6","ערערה בנגב",,"IL",,"+972 51-510-0532","חנות רחפנים","שירות צילום","סטודיו לצילום","שירות הדפסה תלת-ממדית",,,,"https://www.google.com/maps/search/?api=1&query=SPOTLIGHT%20Drone%20Solutions&query_place_id=ChIJS0wQ6kVFAhURzlQ37s9FLKU","חנות רחפנים"
"טיסן פתח תקווה","4.3","17","הנרקיסים 5","כפר סירקין",,"IL","http://www.citysound.co.il/","+972 50-898-9266","חנות תחביבים","חנות צעצועים",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%9F%20%D7%A4%D7%AA%D7%97%20%D7%AA%D7%A7%D7%95%D7%95%D7%94&query_place_id=ChIJkR02RDA1HRUR_EnfLAqHePc","חנות תחביבים"
"רובוטיכאן","5","2","גן תעשייה עומר, Building 8D","עומר",,"IL","http://www.robotican.net/","+972 8-660-9234","יצרן",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%95%D7%91%D7%95%D7%98%D7%99%D7%9B%D7%90%D7%9F&query_place_id=ChIJ8Vzva5xoAhUR6wi4Uf8ulM0","יצרן"
"הובי ניטרו - המרכז הישראלי לאופניים חשמליים ותחביבים בשלט רחוק","4.5","207","הסדנא 3","רעננה",,"IL","http://www.hobbynitro.net/","+972 54-597-8586","חנות אופניים","מתקן לאופניים","חנות לתיקון אופניים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%20%D7%A0%D7%99%D7%98%D7%A8%D7%95%20-%20%D7%94%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D%20%D7%97%D7%A9%D7%9E%D7%9C%D7%99%D7%99%D7%9D%20%D7%95%D7%AA%D7%97%D7%91%D7%99%D7%91%D7%99%D7%9D%20%D7%91%D7%A9%D7%9C%D7%98%20%D7%A8%D7%97%D7%95%D7%A7&query_place_id=ChIJkS7y42M4HRURmJVxJcR7HNw","חנות אופניים"
