"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","url","categoryName"
"ביספיי - ציוד ריגול ואבטחה","4.7","122","עמל 46","פתח תקווה",,"IL","http://bespy.co.il/","+972 73-374-4790","חנות למוצרי אבטחה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%91%D7%99%D7%A1%D7%A4%D7%99%D7%99%20-%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%90%D7%91%D7%98%D7%97%D7%94&query_place_id=ChIJC3lz1CY3HRURiAnGYTSKR_k","חנות למוצרי אבטחה"
"גאדג'ט-ליין - מימד חדש של מתנות","3.8","403","שדרות המעפילים 36","תל אביב-יפו",,"IL","https://www.gadgetline.co.il/","+972 3-574-4086","חנות מתנות",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%90%D7%93%D7%92'%D7%98-%D7%9C%D7%99%D7%99%D7%9F%20-%20%D7%9E%D7%99%D7%9E%D7%93%20%D7%97%D7%93%D7%A9%20%D7%A9%D7%9C%20%D7%9E%D7%AA%D7%A0%D7%95%D7%AA&query_place_id=ChIJ57Vg1L5LHRURDs0T_G6ZaxI","חנות מתנות"
"אל די איי הפקות וידאו","5","28","מונטיפיורי 1","תל אביב-יפו",,"IL","https://www.lda-air.com/","+972 54-331-3165","צלם אווירי","צילום מסחרי","שירות צילום","שירות עריכת וידאו",,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%20%D7%93%D7%99%20%D7%90%D7%99%D7%99%20%D7%94%D7%A4%D7%A7%D7%95%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95&query_place_id=ChIJ-cyDjIKfAhURCMz3Lyg5yl0","צלם אווירי"
"דוקטור ספיי ציוד ריגול ומעקב- SPY SHOP","4.4","121","דרך העצמאות 43, כניסה א","יהוד מונוסון",,"IL","http://www.drspy.co.il/","+972 77-700-2462","חנות למוצרי אבטחה","חנות לציוד צבאי","חנות צילום","צילום",,"https://www.google.com/maps/search/?api=1&query=%D7%93%D7%95%D7%A7%D7%98%D7%95%D7%A8%20%D7%A1%D7%A4%D7%99%D7%99%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%9E%D7%A2%D7%A7%D7%91-%20SPY%20SHOP&query_place_id=ChIJJfUA3KNMHRURsgr5wYIujM8","חנות למוצרי אבטחה"
"SIRI Ariel Photography-סירי צילום אויר","5","3","דרך הים 17","גני תקווה",,"IL","https://siriap.com/","+972 54-811-1385","תא צילום",,,,,"https://www.google.com/maps/search/?api=1&query=SIRI%20Ariel%20Photography-%D7%A1%D7%99%D7%A8%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%99%D7%A8&query_place_id=ChIJCa-L_EpLHRURX1SppTgM4Wo","תא צילום"
"קפטן טוי - kepten toy","4.9","51","הקישון 1","יבנה",,"IL","http://www.keptentoy.com/","+972 8-623-4100","חנות צעצועים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%A4%D7%98%D7%9F%20%D7%98%D7%95%D7%99%20-%20kepten%20toy&query_place_id=ChIJvWaLYH-6AhURBCSDtflWu68","חנות צעצועים"
"הארגון הישראלי לרב להב רחפנים",,,"אלכסנדר 8","רמת גן",,"IL","https://www.icd.org.il/","+972 52-507-6677","שירות השכרת כלי טיס",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJDVdK6_1LHRURn62jQKQeqFg","שירות השכרת כלי טיס"
"טיסני דור (דור המחשוב)","3.9","176","זבלודוביץ 5","פתח תקווה",,"IL","https://dorhm.co.il/","+972 3-903-3395","חנות תחביבים","מטוס","חנות משחקים",,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%A0%D7%99%20%D7%93%D7%95%D7%A8%20(%D7%93%D7%95%D7%A8%20%D7%94%D7%9E%D7%97%D7%A9%D7%95%D7%91)&query_place_id=ChIJ43RaBWE2HRURYOv8TvupAm4","חנות תחביבים"
"לימור צבעים בע""מ","4.1","201","IL 7535938, משה בקר 32","ראשון לציון",,"IL","http://www.limor.biz/","+972 3-969-0843","חנות חומרי בניין",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%99%D7%9E%D7%95%D7%A8%20%D7%A6%D7%91%D7%A2%D7%99%D7%9D%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJcx4CvS5KHRURADWxu8us8rc","חנות חומרי בניין"
"לגעת במרחב בע""מ",,,"דרך הראשונים 53","בני עטרות",,"IL","http://www.geo-touch.com/","+972 3-303-6278","שירות מיפוי",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%92%D7%A2%D7%AA%20%D7%91%D7%9E%D7%A8%D7%97%D7%91%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJQ8jQ-TrLAhUR5ASszaZFtQg","שירות מיפוי"
"קרן אלקטרוניקה","4.7","30","אילת 36","חולון",,"IL","https://www.kerenel.co.il/","+972 3-503-6702","חנות חשמל ואלקטרוניקה","חנות לטלפונים ניידים","שירות תיקונים למחשב","שירות תיקונים","שירות תיקונים למכשירים קטנים","https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%A8%D7%9F%20%D7%90%D7%9C%D7%A7%D7%98%D7%A8%D7%95%D7%A0%D7%99%D7%A7%D7%94&query_place_id=ChIJuQykE12zAhURKKfdR4zscy8","חנות חשמל ואלקטרוניקה"
"המכון למחקר ביולוגי בישראל","4.4","52",,"נס ציונה",,"IL","http://www.iibr.gov.il/","+972 8-938-1656","מעבדת ביוכימיה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%9B%D7%95%D7%9F%20%D7%9C%D7%9E%D7%97%D7%A7%D7%A8%20%D7%91%D7%99%D7%95%D7%9C%D7%95%D7%92%D7%99%20%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C&query_place_id=ChIJJ9x2A8G2AhURe_N-ylVPk40","מעבדת ביוכימיה"
"המעיין - ציוד משרדי","4.3","313","אלי כהן 37","אשקלון",,"IL","http://www.hamaayan-am.co.il/","+972 8-671-9744","חנות לציוד משרדי",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%9E%D7%A2%D7%99%D7%99%D7%9F%20-%20%D7%A6%D7%99%D7%95%D7%93%20%D7%9E%D7%A9%D7%A8%D7%93%D7%99&query_place_id=ChIJQc7Q77CdAhURVZWaj_nTQpM","חנות לציוד משרדי"
"יאסו סרטוני הזמנות לאירועים","4.6","61","משה שרת 6","ראשון לציון",,"IL","http://www.yaso.co.il/","","מתכנן אירועים","חברה לניהול אירועים","שירות חיתון","חנות חתונות",,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%90%D7%A1%D7%95%20%D7%A1%D7%A8%D7%98%D7%95%D7%A0%D7%99%20%D7%94%D7%96%D7%9E%D7%A0%D7%95%D7%AA%20%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&query_place_id=ChIJcYzC3rWzAhURgKzb4Prs0ak","מתכנן אירועים"
"סקיילוק איתור לוויני","5","1","שדרות העצמאות 55","יבנה",,"IL",,"",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%A7%D7%99%D7%99%D7%9C%D7%95%D7%A7%20%D7%90%D7%99%D7%AA%D7%95%D7%A8%20%D7%9C%D7%95%D7%95%D7%99%D7%A0%D7%99&query_place_id=ChIJ9zzmrmm6AhURQJD7iDx81CY",
"מינחת מצפה רמון","3","8","מינחת מצפה רמון","מצפה רמון",,"IL",,"","שדה תעופה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%99%D7%A0%D7%97%D7%AA%20%D7%9E%D7%A6%D7%A4%D7%94%20%D7%A8%D7%9E%D7%95%D7%9F&query_place_id=ChIJVVVVFYbzARURfy-Dni6jSmM","שדה תעופה"
"Fix Drone צפון - מעבדת רחפנים DJI","1.6","7","הדוברת","מגדל העמק",,"IL","https://fixdrone.coi.co.il/","+972 52-261-3173","מעבדה","חנות רחפנים",,,,"https://www.google.com/maps/search/?api=1&query=Fix%20Drone%20%D7%A6%D7%A4%D7%95%D7%9F%20-%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20DJI&query_place_id=ChIJHcAYALtNHBURdpbfemx2p3Q","מעבדה"
"ג'י. אמ. אקס מערכות בע""מ","5","17","השדרה 1","צופית",,"IL","https://gmxsys.com/","+972 9-740-9554","ספק לציוד מדידה","חנות לציוד בנייה",,,,"https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%99.%20%D7%90%D7%9E.%20%D7%90%D7%A7%D7%A1%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJrz4ZFgU5HRUR9rUNZEdYuAs","ספק לציוד מדידה"
"ניסטק צפון","4.3","17","אזור תעשייה מערב","מעלות תרשיחא",,"IL","http://www.nistec.com/","+972 73-268-8899","יצרן מכשירים אלקטרוניים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%99%D7%A1%D7%98%D7%A7%20%D7%A6%D7%A4%D7%95%D7%9F&query_place_id=ChIJ_3sB8rYtHBURuzRSSPYty7E","יצרן מכשירים אלקטרוניים"
"אלעד אוהב עצים","5","51","2CG8+Q7V","צבעון",,"IL","https://www.eladlovetrees.co.il/","+972 52-437-5574","שירות טיפול בעצים","שירותי אילנאות",,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%D7%A2%D7%93%20%D7%90%D7%95%D7%94%D7%91%20%D7%A2%D7%A6%D7%99%D7%9D&query_place_id=ChIJd_kg9P-lFawRQNswJ46rQbQ","שירות טיפול בעצים"
"צילומי אוויר - ORNIR","4.4","5","מזל אריה 4/7","ירושלים",,"IL","http://www.ornir.co.il/aerial-photography-c20jw","+972 52-338-1763","צלם","שירות מיפוי","שירות הפקת וידאו",,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20-%20ORNIR&query_place_id=ChIJ2UN7D2oqAxURosEbGhnAzP8","צלם"
"הפיראט האדום","4.1","44","יפו 234","ירושלים",,"IL","https://pirat.co.il/","+972 2-532-6600","חנות צעצועים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%A4%D7%99%D7%A8%D7%90%D7%98%20%D7%94%D7%90%D7%93%D7%95%D7%9D&query_place_id=ChIJkQqnfTDWAhURbhD5EQxL9Co","חנות צעצועים"
"הפיראט האדום שילת/מודיעין","4.3","253","מתחם מגה אור מתחת לרמי לוי","שילת",,"IL","http://hapiratmodiin.co.il/","+972 8-976-0085","חנות צעצועים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%A4%D7%99%D7%A8%D7%90%D7%98%20%D7%94%D7%90%D7%93%D7%95%D7%9D%20%D7%A9%D7%99%D7%9C%D7%AA%2F%D7%9E%D7%95%D7%93%D7%99%D7%A2%D7%99%D7%9F&query_place_id=ChIJ-03_-2rNAhURHUhhvzbjWr8","חנות צעצועים"
"נמל התעופה ראש פינה","4.4","79",,"ראש פינה",,"IL","https://www.iaa.gov.il/en/airports/rosh-pina/","","נמל תעופה אזורי","שדה תעופה",,,,"https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%9E%D7%9C%20%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94%20%D7%A8%D7%90%D7%A9%20%D7%A4%D7%99%D7%A0%D7%94&query_place_id=ChIJHZtOWFkfHBURliyCErkbISw","נמל תעופה אזורי"
"חנות טיסנים ורחפנים","1","1","הגביש 3","נתניה",,"IL",,"",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%A0%D7%95%D7%AA%20%D7%98%D7%99%D7%A1%D7%A0%D7%99%D7%9D%20%D7%95%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJpVZklYA_HRURoBTM7d1uXlw",
"DRONZ צילום אווירי","4.8","4","הרברט סמואל 66","חדרה",,"IL",,"+972 72-283-6666","שירות הפקת וידאו","חנות ציוד לכלי טיס","צלם",,,"https://www.google.com/maps/search/?api=1&query=DRONZ%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99&query_place_id=ChIJ5_wrpt8THRURxIvBVZsCpk8","שירות הפקת וידאו"
"הובי ניטרו - המרכז הישראלי לאופניים חשמליים ותחביבים בשלט רחוק","4.5","207","הסדנא 3","רעננה",,"IL","http://www.hobbynitro.net/","+972 54-597-8586","חנות אופניים","מתקן לאופניים","חנות לתיקון אופניים",,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%20%D7%A0%D7%99%D7%98%D7%A8%D7%95%20-%20%D7%94%D7%9E%D7%A8%D7%9B%D7%96%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D%20%D7%97%D7%A9%D7%9E%D7%9C%D7%99%D7%99%D7%9D%20%D7%95%D7%AA%D7%97%D7%91%D7%99%D7%91%D7%99%D7%9D%20%D7%91%D7%A9%D7%9C%D7%98%20%D7%A8%D7%97%D7%95%D7%A7&query_place_id=ChIJkS7y42M4HRURmJVxJcR7HNw","חנות אופניים"
"Rc Pilot","4.8","24","יוסף לוי 2","קריית ביאליק",,"IL","http://www.rcpilot.co.il/","+972 4-874-7313","חנות תחביבים",,,,,"https://www.google.com/maps/search/?api=1&query=Rc%20Pilot&query_place_id=ChIJG0OVQka2HRURnDdE33Ijgyc","חנות תחביבים"
"טיסן חיפה","4.6","158","שדרות ההסתדרות 54","חיפה",,"IL","http://www.tissanhaifa.co.il/","+972 4-864-5076","חנות תחביבים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%9F%20%D7%97%D7%99%D7%A4%D7%94&query_place_id=ChIJYUZ9YHi6HRURTYXKOEXzhcM","חנות תחביבים"
"פורטל החקלאות הישראלי","4.7","10","קיבוץ החותרים","החותרים",,"IL","https://www.israel.agrisupportonline.com/","+972 53-944-6765","חקלאות",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%95%D7%A8%D7%98%D7%9C%20%D7%94%D7%97%D7%A7%D7%9C%D7%90%D7%95%D7%AA%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99&query_place_id=ChIJZwmN4aGkHRURFYAB8ZgeeP8","חקלאות"
